CE Buy-Only Diagnostic - 150 coins, pichle 720 bars (~30 din)

======================================================================

Total RAW cross events (pichle 720 bars, sab 150 coins mila ke): 954
Total POST-COOLDOWN signals: 731
Kitne coins par kam-az-kam 1 raw event hua: 139/150
Kitne coins par ABHI (is waqt) ek OPEN trade hai (jo dashboard dikhata): 1/150

Sab se RECENT signal (kisi bhi coin par): YOM/USDT, 0 bars (0.0 din) pehle -> OPEN

======================================================================
Har coin ki detail:

4STOCK/USDT: raw=4, post-cooldown=3, aakhri signal 83 bars (3.5 din) pehle -> CLOSED (STOPPED, exit 82 bars pehle)
ATOM/USDT: raw=3, post-cooldown=3, aakhri signal 229 bars (9.5 din) pehle -> CLOSED (STOPPED, exit 228 bars pehle)
XPL/USDT: raw=7, post-cooldown=6, aakhri signal 56 bars (2.3 din) pehle -> CLOSED (STOPPED, exit 55 bars pehle)
VIRTUAL/USDT: raw=8, post-cooldown=6, aakhri signal 150 bars (6.2 din) pehle -> CLOSED (STOPPED, exit 149 bars pehle)
TMX/USDT: raw=10, post-cooldown=9, aakhri signal 38 bars (1.6 din) pehle -> CLOSED (STOPPED, exit 37 bars pehle)
PENGU/USDT: raw=3, post-cooldown=3, aakhri signal 150 bars (6.2 din) pehle -> CLOSED (STOPPED, exit 149 bars pehle)
CHIP/USDT: raw=6, post-cooldown=4, aakhri signal 141 bars (5.9 din) pehle -> CLOSED (STOPPED, exit 140 bars pehle)
APT/USDT: raw=6, post-cooldown=5, aakhri signal 150 bars (6.2 din) pehle -> CLOSED (STOPPED, exit 149 bars pehle)
ANSEM/USDT: raw=3, post-cooldown=3, aakhri signal 39 bars (1.6 din) pehle -> CLOSED (STOPPED, exit 38 bars pehle)
ONE/USDT: raw=2, post-cooldown=2, aakhri signal 286 bars (11.9 din) pehle -> CLOSED (STOPPED, exit 285 bars pehle)
CRV/USDT: raw=3, post-cooldown=2, aakhri signal 358 bars (14.9 din) pehle -> CLOSED (STOPPED, exit 357 bars pehle)
TAG/USDT: raw=1, post-cooldown=1, aakhri signal 261 bars (10.9 din) pehle -> CLOSED (STOPPED, exit 260 bars pehle)
PIPEDOG/USDT: raw=8, post-cooldown=7, aakhri signal 31 bars (1.3 din) pehle -> CLOSED (STOPPED, exit 30 bars pehle)
